id,year,title,entry,phylum,class,order,genus,match_method,confidence,rationale
119,2023,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,"Brohan, Anthony, Brown, Noah, Carbajal, Justice, Chebotar, Yevgen, Chen, Xi, Choromanski, Krzysztof, Ding, Tianli, Driess, Danny, Dubey, Avinava, Finn, Chelsea, Florence, Pete, Fu, Chuyuan, Arenas, Montse Gonzalez, Gopalakrishnan, Keerthana, Han, Kehang, Hausman, Karol, Herzog, Alex, Hsu, Jasmine, Ichter, Brian, Irpan, Alex, Joshi, Nikhil, Julian, Ryan, Kalashnikov, Dmitry, Kuang, Yuheng, Leal, Isabel, Lee, Lisa, Lee, TsangWei Edward, Levine, Sergey, Lu, Yao, Michalewski, Henryk, Mordatch, Igor, Pertsch, Karl, Rao, Kanishka, Reymann, Krista, Ryoo, Michael, Salazar, Grecia, Sanketi, Pannag, Sermanet, Pierre, Singh, Jaspiar, Singh, Anikait, Soricut, Radu, Tran, Huong, Vanhoucke, Vincent, Vuong, Quan, Wahid, Ayzaan, Welker, Stefan, Wohlhart, Paul, Wu, Jialin, Xia, Fei, Xiao, Ted, Xu, Peng, Xu, Sichun, Yu, Tianhe, and Zitkovich, Brianna. 2023. RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control. In: arXiv preprint.","Learning, Semantics & Spatial AI",Foundation and Open-World Spatial AI,Open-World Mapping,Open-Set Object Maps,codex_context_semantic,0.74,"Cited in open-world Spatial AI further-reading context. Strongest Handbook context: 17.4 Further Readings & Recent Trends  517. Genus label: Open-Set Object Maps (codex_context_genus, score=6)."
120,2022,Associating Uncertainty to Extended Poses for on Lie Group IMU Preintegration With Rotating Earth,"Brossard, Martin, Barrau, Axel, Chauchat, Paul, and Bonnabel, Silv - ere. 2022. Associating Uncertainty to Extended Poses for on Lie Group IMU Preintegration With Rotating Earth. IEEE Trans. Robotics, 38(2), 998-1015.",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Inertial Odometry,IMU Preintegration,codex_context_semantic,0.96,"Cited in inertial odometry further-reading context. Strongest Handbook context: 11.5 Further Readings & Recent Trends. Genus label: IMU Preintegration (codex_context_genus, score=58)."
121,2024,Survey of Deep Learning-Based Methods for FMCW Radar Odometry and EgoLocalization,"Brune, Marvin, Meisen, Tobias, and Pomp, Andr - e. 2024. Survey of Deep Learning-Based Methods for FMCW Radar Odometry and EgoLocalization. Applied Sciences, 14(6).",Sensor & Odometry Modalities,Radar SLAM,Radar System Families,Radar Place Recognition,codex_context_semantic,0.82,"Title is a radar odometry/SLAM system. Genus label: Radar Place Recognition (codex_context_genus, score=45)."
122,2021,On the Tightness of Semidefinite Relaxations for Rotation Estimation,"Brynte, Lucas, Larsson, Viktor, Iglesias, Jos - e Pedro, Olsson, Carl, and Kahl, Fredrik. 2021. On the Tightness of Semidefinite Relaxations for Rotation Estimation. Journal of Mathematical Imaging and Vision, 64(1), 57-67.",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Certifiably Optimal SLAM,Semidefinite Relaxation,codex_context_semantic,0.9,"Cited in theoretical properties chapter further-reading context. Strongest Handbook context: 6.3 Further Readings & Recent Trends  179. Genus label: Semidefinite Relaxation (codex_context_genus, score=42)."
123,2023,Deep IMU Bias Inference for Robust Visual-Inertial Odometry With Factor Graphs,"Buchanan, Russell, Agrawal, Varun, Camurri, Marco, Dellaert, Frank, and Fallon, Maurice. 2023. Deep IMU Bias Inference for Robust Visual-Inertial Odometry With Factor Graphs. IEEE Robotics and Automation Letters, 8(1), 41-48.",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Inertial Odometry,Visual-Inertial Odometry,codex_context_semantic,0.9,"Cited in inertial odometry further-reading context. Strongest Handbook context: 11.5 Further Readings & Recent Trends  331. Genus label: Visual-Inertial Odometry (codex_context_genus, score=45)."
124,2004,Local Minima and Convergence in LowRank Semidefinite Programming,"Burer, S., and Monteiro, R. 2004. Local Minima and Convergence in LowRank Semidefinite Programming. Mathematical Programming, 103(3), 427-444.",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Certifiably Optimal SLAM,Semidefinite Relaxation,codex_context_semantic,0.82,"Title is about certifiable or SDP-style optimization. Genus label: Semidefinite Relaxation (codex_context_genus, score=35)."
125,2003,A nonlinear programming algorithm for solving semidefinite programs via low-rank factorization,"Burer, Samuel, and Monteiro, Renato. 2003. A nonlinear programming algorithm for solving semidefinite programs via low-rank factorization. Mathematical Programming, 95(2), 329-357.",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Certifiably Optimal SLAM,Semidefinite Relaxation,codex_context_semantic,0.82,"Title is about certifiable or SDP-style optimization. Genus label: Semidefinite Relaxation (codex_context_genus, score=35)."
126,2022,"EVIMO2: An Event Camera Dataset for Motion Segmentation, Optical Flow, Structure from Motion, and Visual Inertial Odometry in Indoor Scenes with Monocular or Stereo Algorithms","Burner, Levi, Mitrokhin, Anton, Fermu - ller, Cornelia, and Aloimonos, Yiannis. 2022. EVIMO2: An Event Camera Dataset for Motion Segmentation, Optical Flow, Structure from Motion, and Visual Inertial Odometry in Indoor Scenes with Monocular or Stereo Algorithms. arXiv preprint, May.","Robustness, Evaluation & Operations",Evaluation,Datasets and Benchmarks,Visual SLAM Datasets,codex_context_semantic,0.74,"Cited in event datasets/simulators/benchmarks context. Strongest Handbook context: 10.7 Datasets, Simulators, and Benchmarks              299. Genus label: Visual SLAM Datasets (codex_context_genus, score=22)."
127,2022,"Are We Ready for Radar to Replace Lidar in All-Weather Mapping and Localization? IEEE Robotics and Automation Letters, 7(4), 10328-10335","Burnett, Keenan, Wu, Yuchen, Yoon, David J., Schoellig, Angela P., and Barfoot, Timothy D. 2022. Are We Ready for Radar to Replace Lidar in All-Weather Mapping and Localization? IEEE Robotics and Automation Letters, 7(4), 10328-10335.",Measurement Front-End,Odometry Front-End,Frame-to-Frame Motion Estimation,Radar Odometry,codex_context_semantic,0.9,"Cited in radar odometry context. Strongest Handbook context: 9.2 Radar Odometry. Genus label: Radar Odometry (codex_context_genus, score=42)."
128,2023,Boreas: A Multi-Season Autonomous Driving Dataset,"Burnett, Keenan, Yoon, David J, Wu, Yuchen, Li, Andrew Zou, Zhang, Haowei, Lu, Shichen, Qian, Jingxing, Tseng, Wei-Kang, Lambert, Andrew, Leung, Keith YK, Schoellig, Angela P, and Barfoot, Timothy D. 2023. Boreas: A Multi-Season Autonomous Driving Dataset. Intl. J. of Robotics Research, 42(12), 33-42.","Robustness, Evaluation & Operations",Evaluation,Datasets and Benchmarks,Radar SLAM Datasets,codex_context_semantic,0.96,"Cited in radar datasets context. Strongest Handbook context: 9.5 Radar Datasets. Genus label: Radar SLAM Datasets (codex_context_genus, score=22)."
129,2024,Continuous-Time Radar-Inertial and Lidar-Inertial Odometry using a Gaussian Process Motion Prior,"Burnett, Keenan, Schoellig, Angela P., and Barfoot, Timothy D. 2024. Continuous-Time Radar-Inertial and Lidar-Inertial Odometry using a Gaussian Process Motion Prior.",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Inertial Odometry,Visual-Inertial Odometry,codex_context_semantic,0.82,"Title is primarily visual-inertial/inertial odometry. Genus label: Visual-Inertial Odometry (codex_context_genus, score=25)."
130,2025,IMU as an input versus a measurement of the state in inertial-aided state estimation,"Burnett, Keenan, Schoellig, Angela P., and Barfoot, Timothy D. 2025. IMU as an input versus a measurement of the state in inertial-aided state estimation. Robotica, 1-21.",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Inertial Odometry,Visual-Inertial Odometry,codex_context_semantic,0.66,"Cited in inertial odometry further-reading context. Strongest Handbook context: 11.5 Further Readings & Recent Trends. Genus label: Visual-Inertial Odometry (codex_context_genus, score=6)."
131,2016,The EuRoC micro aerial vehicle datasets,"Burri, Michael, Nikolic, Janosch, Gohl, Pascal, Schneider, Thomas, Rehder, Joern, Omari, Sammy, Achtelik, Markus W, and Siegwart, Roland. 2016. The EuRoC micro aerial vehicle datasets. Intl. J. of Robotics Research, 35(10), 1157-1163.","Robustness, Evaluation & Operations",Evaluation,Datasets and Benchmarks,Visual SLAM Datasets,codex_context_semantic,0.82,"Title is primarily a dataset/benchmark contribution. Genus label: Visual SLAM Datasets (codex_context_genus, score=19)."
132,2018,Guaranteed outlier removal for point cloud registration with correspondences,"Bustos, A - . P., and Chin, T. J. 2018. Guaranteed outlier removal for point cloud registration with correspondences. IEEE Trans. Pattern Anal. Machine Intell., 40(12), 2868-2882.",Back-End Optimization & Inference,Robust Back-End,Outlier-Robust Optimization,Pairwise Consistency,codex_context_semantic,0.66,"Cited in robustness chapter further-reading context. Strongest Handbook context: 3.4 Further Readings & Recent Trends. Genus label: Pairwise Consistency (codex_context_genus, score=58)."
133,2019,A Practical Maximum Clique Algorithm for Matching with Pairwise Constraints,"Bustos, Alvaro Parra, Chin, Tat-Jun, Neumann, Frank, Friedrich, Tobias, and Katzmann, Maximilian. 2019. A Practical Maximum Clique Algorithm for Matching with Pairwise Constraints. arXiv preprint.",Back-End Optimization & Inference,Robust Back-End,Outlier-Robust Optimization,Robust Pose Graph Optimization,codex_context_semantic,0.66,"Cited in robustness chapter further-reading context. Strongest Handbook context: 3.4 Further Readings & Recent Trends. Genus label: Robust Pose Graph Optimization (codex_context_genus, score=6)."
134,2013,Real-time camera tracking and 3D reconstruction using signed distance functions,"Bylow, Erik, Sturm, Ju - rgen, Kerl, Christian, Kahl, Fredrik, and Cremers, Daniel. 2013. Real-time camera tracking and 3D reconstruction using signed distance functions. Page 2 of: Robotics: Science and Systems (RSS), vol. 2.",Map Representations,Dense Geometric Maps,Dense Reconstruction,Real-Time Dense Reconstruction,codex_context_semantic,0.66,"Cited in map construction / dense reconstruction context. Strongest Handbook context: 5.4.4 Voxels. Genus label: Real-Time Dense Reconstruction (codex_context_genus, score=12)."
135,2025,MUSt3R: Multi-view Network for Stereo 3D Reconstruction,"Cabon, Yohann, Stoffl, Lucas, Antsfeld, Leonid, Csurka, Gabriela, Chidlovskii, Boris, Revaud, J - ero^me, and Leroy, Vincent. 2025. MUSt3R: Multi-view Network for Stereo 3D Reconstruction.","Learning, Semantics & Spatial AI",Learning for Classical SLAM Components,Learned Optimization,DROID-SLAM-style Recurrent Updates,codex_context_semantic,0.74,"Cited in learned SfM/SLAM extension context. Strongest Handbook context: 13.6 Extending MASt3R to SFM and SLAM  393. Genus label: DROID-SLAM-style Recurrent Updates (codex_context_genus, score=19)."
136,2016,"Past, present, and future of simultaneous localization and mapping: Toward the robustperception age","Cadena, Cesar, Carlone, Luca, Carrillo, Henry, Latif, Yasir, Scaramuzza, Davide, Neira, Jos - e, Reid, Ian, and Leonard, John J. 2016. Past, present, and future of simultaneous localization and mapping: Toward the robustperception age. IEEE Trans. Robotics, 32(6), 1309-1332.",Map Representations,Dense Geometric Maps,Range-Derived Maps,Point Cloud Maps,codex_context_semantic,0.66,"Cited in dense mapping foundations. Strongest Handbook context: 5.2 Foundations of Dense Mapping. Genus label: Point Cloud Maps (codex_context_genus, score=22)."
137,2020,nuscenes: A multimodal dataset for autonomous driving,"Caesar, Holger, Bankiti, Varun, Lang, Alex H, Vora, Sourabh, Liong, Venice Erin, Xu, Qiang, Krishnan, Anush, Pan, Yu, Baldan, Giancarlo, and Beijbom, Oscar. 2020. nuscenes: A multimodal dataset for autonomous driving. Pages 11621-11631 of: IEEE Conf. on Computer Vision and Pattern Recognition (CVPR).","Robustness, Evaluation & Operations",Evaluation,Datasets and Benchmarks,Radar SLAM Datasets,codex_context_semantic,0.96,"Cited in radar datasets context. Strongest Handbook context: 9.5 Radar Datasets. Genus label: Radar SLAM Datasets (codex_context_genus, score=22)."
138,2022,Neural Surface Reconstruction of Dynamic Scenes with Monocular RGB-D Camera,"Cai, Hongrui, Feng, Wanquan, Feng, Xuetao, Wang, Yan, and Zhang, Juyong. 2022a. Neural Surface Reconstruction of Dynamic Scenes with Monocular RGB-D Camera. In: Advances in Neural Information Processing Systems (NIPS).",Map Representations,Neural and Differentiable Maps,Neural Implicit Maps,NeRF Maps,codex_context_semantic,0.66,"Cited in differentiable volume rendering further-reading context. Strongest Handbook context: 14.4 Further Readings & Recent Trends    415. Genus label: NeRF Maps (codex_context_genus, score=19)."
139,2022,AutoPlace: Robust Place Recognition with Single-chip Automotive Radar,"Cai, Kaiwen, Wang, Bing, and Lu, Chris Xiaoxuan. 2022b. AutoPlace: Robust Place Recognition with Single-chip Automotive Radar. Pages 2222-2228 of: IEEE Intl. Conf. on Robotics and Automation (ICRA).",Measurement Front-End,Place Recognition and Loop Closure,Place Recognition,Radar Place Recognition,codex_context_semantic,0.96,"Cited in radar place recognition context. Strongest Handbook context: 9.3 Radar Place Recognition  271. Genus label: Radar Place Recognition (codex_context_genus, score=45)."
140,2011,Radar SLAM using visual features,"Callmer, Jonas, To - rnqvist, David, Gustafsson, Fredrik, Svensson, Henrik, and Carlbom, Pelle. 2011. Radar SLAM using visual features. EURASIP Journal on Advances in Signal Processing, 2011(09), 1-11.",Sensor & Odometry Modalities,Radar SLAM,Radar System Families,Radar Mapping,codex_context_semantic,0.9,"Cited in radar SLAM context. Strongest Handbook context: 9.4.1 Map Representations. Genus label: Radar Mapping (codex_context_genus, score=42)."
141,2010,BRIEF: Binary Robust Independent Elementary Features,"Calonder, Michael, Lepetit, Vincent, Strecha, Christoph, and Fua, Pascal. 2010. BRIEF: Binary Robust Independent Elementary Features. Pages 778-792 of: European Conference on Computer Vision (ECCV).",Measurement Front-End,Raw-to-Pseudo Measurement Processing,Feature Extraction,Keypoints and Descriptors,codex_context_semantic,0.66,"Cited in visual SLAM fundamentals / feature processing. Strongest Handbook context: 7.3 Visual SLAM Fundamentals  201. Genus label: Keypoints and Descriptors (codex_context_genus, score=83)."
142,2021,"Orb-slam3: An accurate open-source library for visual, visual-inertial, and multimap slam","Campos, Carlos, Elvira, Richard, Rodr - iguez, Juan J G - omez, Montiel, Jos - e MM, and Tard - os, Juan D. 2021. Orb-slam3: An accurate open-source library for visual, visual-inertial, and multimap slam. IEEE Trans. Robotics, 37(6), 1874-1890.",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Inertial Odometry,Visual-Inertial Odometry,codex_context_semantic,0.82,"Title is primarily visual-inertial/inertial odometry. Genus label: Visual-Inertial Odometry (codex_context_genus, score=45)."
143,2017,Probabilistic Contact Estimation and Impact Detection for State Estimation of Quadruped Robots,"Camurri, Marco, Fallon, Maurice, Bazeille, St - ephane, Radulescu, Andreea, Barasuol, Victor, Caldwell, Darwin G., and Semini, Claudio. 2017. Probabilistic Contact Estimation and Impact Detection for State Estimation of Quadruped Robots. IEEE Robotics and Automation Letters, 2(2), 1023-1030.",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Leg Odometry,Contact Estimation,codex_context_semantic,0.74,"Cited in leg odometry for state estimation. Strongest Handbook context: 12.4.2 Factor Graph Smoothing. Genus label: Contact Estimation (codex_context_genus, score=58)."
144,2020,Pronto: A Multi-Sensor State Estimator for Legged Robots in RealWorld Scenarios,"Camurri, Marco, Ramezani, Milad, Nobili, Simona, and Fallon, Maurice. 2020. Pronto: A Multi-Sensor State Estimator for Legged Robots in RealWorld Scenarios. Frontiers in Robotics and AI, 7.",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Leg Odometry,Legged State Estimation,codex_context_semantic,0.66,"Cited in leg odometry for state estimation. Strongest Handbook context: 12.4.2 Factor Graph Smoothing. Genus label: Legged State Estimation (codex_context_genus, score=25)."
145,2022,GVINS: Tightly Coupled GNSS - Visual-Inertial Fusion for Smooth and Consistent State Estimation,"Cao, Shaozu, Lu, Xiuyuan, and Shen, Shaojie. 2022. GVINS: Tightly Coupled GNSS - Visual-Inertial Fusion for Smooth and Consistent State Estimation. IEEE Trans. Robotics, 38(4), 2004-2021.",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Inertial Odometry,Visual-Inertial Odometry,codex_context_semantic,0.82,"Title is primarily visual-inertial/inertial odometry. Genus label: Visual-Inertial Odometry (codex_context_genus, score=25)."
146,2020,End-to-End Object Detection with Transformers,"Carion, Nicolas, Massa, Francisco, Synnaeve, Gabriel, Usunier, Nicolas, Kirillov, Alexander, and Zagoruyko, Sergey. 2020. End-to-End Object Detection with Transformers. In: European Conf. on Computer Vision (ECCV).","Learning, Semantics & Spatial AI",Foundation and Open-World Spatial AI,Foundation Models for Spatial AI,Open-Vocabulary Recognition,codex_context_semantic,0.66,"Cited in foundation model background context. Strongest Handbook context: 17.1.2 Terminology and Scope. Genus label: Open-Vocabulary Recognition (codex_context_genus, score=22)."
147,2023,Estimation Contracts for Outlier-Robust Geometric Perception,"Carlone, L. 2023. Estimation Contracts for Outlier-Robust Geometric Perception. Foundations and Trends (FnT) in Robotics, arXiv preprint: 2208.10521. .",Back-End Optimization & Inference,Robust Back-End,Outlier-Robust Optimization,Robust Pose Graph Optimization,codex_context_semantic,0.9,"Cited in robustness chapter further-reading context. Strongest Handbook context: 3.4 Further Readings & Recent Trends  99. Genus label: Robust Pose Graph Optimization (codex_context_genus, score=12)."
148,2014,From Angular Manifolds to the Integer Lattice: Guaranteed Orientation Estimation With Application to Pose Graph Optimization,"Carlone, L., and Censi, A. 2014. From Angular Manifolds to the Integer Lattice: Guaranteed Orientation Estimation With Application to Pose Graph Optimization. IEEE Trans. Robotics, 30(2), 475-492.",Map Representations,Sparse Geometric Maps,Pose Graph Maps,Topological Graphs,codex_context_fallback,0.42,"No reliable citation section was recovered; retained parser seed as low-confidence fallback. Genus label: Topological Graphs (codex_context_genus_default, score=0)."
149,2015,Duality-based Verification Techniques for 2D SLAM,"Carlone, L., and Dellaert, F. 2015. Duality-based Verification Techniques for 2D SLAM. Pages 4589-4596 of: IEEE Intl. Conf. on Robotics and Automation (ICRA). .",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Certifiably Optimal SLAM,SE-Sync-style Solvers,codex_context_semantic,0.82,"Cited in certifiably optimal solver context. Strongest Handbook context: 6.1.2 SE-Sync: Certifiably Correct Pose-Graph Optimization. Genus label: SE-Sync-style Solvers (codex_context_genus, score=22)."
150,2018,Attention and Anticipation in Fast Visual-Inertial Navigation,"Carlone, L., and Karaman, S. 2018. Attention and Anticipation in Fast Visual-Inertial Navigation. IEEE Trans. Robotics.",Sensor & Odometry Modalities,Proprioceptive and Aided Odometry,Inertial Odometry,Visual-Inertial Odometry,codex_context_semantic,0.82,"Title is primarily visual-inertial/inertial odometry. Genus label: Visual-Inertial Odometry (codex_context_genus, score=25)."
151,2015,Lagrangian Duality in 3D SLAM: Verification Techniques and Optimal Solutions,"Carlone, L., Rosen, D.M., Calafiore, G.C., Leonard, J.J., and Dellaert, F. 2015a. Lagrangian Duality in 3D SLAM: Verification Techniques and Optimal Solutions. Pages 125-132 of: IEEE/RSJ Intl. Conf. on Intelligent Robots and Systems (IROS).",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Certifiably Optimal SLAM,SE-Sync-style Solvers,codex_context_semantic,0.74,"Cited in certifiably optimal solver context. Strongest Handbook context: 6.1.2 SE-Sync: Certifiably Correct Pose-Graph Optimization. Genus label: SE-Sync-style Solvers (codex_context_genus, score=22)."
152,2015,Pose Graph Optimization in the Complex Domain: Lagrangian Duality and Optimal Solutions,"Carlone, L., Calafiore, G., and Dellaert, F. 2015b. Pose Graph Optimization in the Complex Domain: Lagrangian Duality and Optimal Solutions. In: Robotics: Science and Systems Workshop.",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Certifiably Optimal SLAM,SE-Sync-style Solvers,codex_context_semantic,0.66,"Cited in theoretical properties chapter further-reading context. Strongest Handbook context: 6.3 Further Readings & Recent Trends. Genus label: SE-Sync-style Solvers (codex_context_genus, score=22)."
153,2018,Convex relaxations for pose graph optimization with outliers,"Carlone, Luca, and Calafiore, Giuseppe C. 2018. Convex relaxations for pose graph optimization with outliers. IEEE Robotics and Automation Letters, 3(2), 1160-1167.",Back-End Optimization & Inference,Robust Back-End,Outlier-Robust Optimization,Robust Pose Graph Optimization,codex_context_semantic,0.66,"Cited in robustness chapter further-reading context. Strongest Handbook context: 3.4 Further Readings & Recent Trends  99. Genus label: Robust Pose Graph Optimization (codex_context_genus, score=28)."
154,2021,Emerging properties in selfsupervised vision transformers,"Caron, Mathilde, Touvron, Hugo, Misra, Ishan, J - egou, Herv - e, Mairal, Julien, Bojanowski, Piotr, and Joulin, Armand. 2021. Emerging properties in selfsupervised vision transformers. Pages 9650-9660 of: Intl. Conf. on Computer Vision (ICCV).","Learning, Semantics & Spatial AI",Foundation and Open-World Spatial AI,Foundation Models for Spatial AI,Open-Vocabulary Recognition,codex_context_semantic,0.82,"Cited in foundation model background context. Strongest Handbook context: 17.1 Background and Terminology                                      493. Genus label: Open-Vocabulary Recognition (codex_context_genus, score=25)."
155,2001,Reconstruction and representation of 3D objects with radial basis functions,"Carr, J. C., Beatson, R. K., Cherrie, J. B., Mitchell, T. J., Fright, W. R., McCallum, B. C., and Evans, T. R. 2001. Reconstruction and representation of 3D objects with radial basis functions. Pages 67-76 of: Intl. Conf. on Computer Graphics and Interactive Techniques (SIGGRAPH). Association for Computing Machinery.",Map Representations,Dense Geometric Maps,Dense Reconstruction,Real-Time Dense Reconstruction,codex_context_semantic,0.66,"Cited in map construction / dense reconstruction context. Strongest Handbook context: 5.4.3 Meshes. Genus label: Real-Time Dense Reconstruction (codex_context_genus, score=6)."
156,2022,Lcdnet: Deep loop closure detection and point cloud registration for lidar slam,"Cattaneo, Daniele, Vaghi, Matteo, and Valada, Abhinav. 2022. Lcdnet: Deep loop closure detection and point cloud registration for lidar slam. IEEE Trans. Robotics, 38(4), 2074-2093.",Measurement Front-End,Place Recognition and Loop Closure,Place Recognition,LiDAR Place Recognition,codex_context_semantic,0.9,"Cited in LiDAR place recognition context. Strongest Handbook context: 8.3 LiDAR Place Recognition  237. Genus label: LiDAR Place Recognition (codex_context_genus, score=45)."
157,2006,Delaunay Triangulation Based Surface Reconstruction,"Cazals, Fr - ed - eric, and Giesen, Joachim. 2006. Delaunay Triangulation Based Surface Reconstruction. Springer Berlin Heidelberg. Pages 231-276.",Map Representations,Dense Geometric Maps,Dense Reconstruction,Real-Time Dense Reconstruction,codex_context_semantic,0.66,"Cited in map construction / dense reconstruction context. Strongest Handbook context: 5.4.3 Meshes. Genus label: Real-Time Dense Reconstruction (codex_context_genus, score=6)."
158,2018,Precise Ego-Motion Estimation with Millimeter-Wave Radar Under Diverse and Challenging Conditions,"Cen, Sarah H., and Newman, Paul. 2018. Precise Ego-Motion Estimation with Millimeter-Wave Radar Under Diverse and Challenging Conditions. Pages 6045-6052 of: IEEE Intl. Conf. on Robotics and Automation (ICRA). IEEE.",Measurement Front-End,Odometry Front-End,Frame-to-Frame Motion Estimation,Radar Odometry,codex_context_semantic,0.74,"Cited in radar odometry context. Strongest Handbook context: 9.2.4 Registration-based Odometry. Genus label: Radar Odometry (codex_context_genus, score=42)."
159,2007,An accurate closed-form estimate of ICP's covariance,"Censi, A. 2007. An accurate closed-form estimate of ICP's covariance. In: IEEE Intl. Conf. on Robotics and Automation (ICRA).",Sensor & Odometry Modalities,LiDAR SLAM,LiDAR System Families,LiDAR-Inertial SLAM,codex_context_semantic,0.74,"Cited in LiDAR SLAM system context. Strongest Handbook context: 8.4.2 Pose-graph Optimization and Map Update. Genus label: LiDAR-Inertial SLAM (codex_context_genus, score=3)."
160,2014,Low-Latency Event-Based Visual Odometry,"Censi, Andrea, and Scaramuzza, Davide. 2014. Low-Latency Event-Based Visual Odometry. Pages 703-710 of: IEEE Intl. Conf. on Robotics and Automation (ICRA).",Sensor & Odometry Modalities,Event-Based SLAM,Event System Families,Event-Inertial Odometry,codex_context_semantic,0.82,"Title is primarily event-based perception/SLAM. Genus label: Event-Inertial Odometry (codex_context_genus, score=6)."
161,2015,An efficient solver for sparse linear systems based on rank-structured Cholesky factorization,"Chadwick, Jeffrey N, and Bindel, David S. 2015. An efficient solver for sparse linear systems based on rank-structured Cholesky factorization. arXiv preprint.",Back-End Optimization & Inference,Certifiable and Differentiable Solvers,Differentiable Optimization,Differentiating Through Least Squares,codex_context_semantic,0.66,"Cited in differentiable optimization chapter. Strongest Handbook context: 4.4.1 Example of Implementation of Differentiable Optimization. Genus label: Differentiating Through Least Squares (codex_context_genus_default, score=0)."
162,2024,Recent Event Camera Innovations: A Survey,"Chakravarthi, Bharatesh, Verma, Aayush Atul, Daniilidis, Kostas, Fermuller, Cornelia, and Yang, Yezhou. 2024. Recent Event Camera Innovations: A Survey. In: European Conf. on Computer Vision Workshops.",Sensor & Odometry Modalities,Event-Based SLAM,Event System Families,Event-Inertial Odometry,codex_context_semantic,0.82,"Title is primarily event-based perception/SLAM. Genus label: Event-Inertial Odometry (codex_context_genus, score=3)."
163,2023,"M3ED: Multi-Robot, Multi-Sensor, MultiEnvironment Event Dataset","Chaney, Kenneth, Cladera, Fernando, Wang, Ziyun, Bisulco, Anthony, Hsieh, M. Ani, Korpela, Christopher, Kumar, Vijay, Taylor, Camillo J., and Daniilidis, Kostas. 2023. M3ED: Multi-Robot, Multi-Sensor, MultiEnvironment Event Dataset. Pages 4016-4023 of: IEEE/CVF Conf. on Computer Vision and Pattern Recognition Workshops.","Robustness, Evaluation & Operations",Evaluation,Datasets and Benchmarks,Event SLAM Datasets,codex_context_semantic,0.96,"Cited in event datasets/simulators/benchmarks context. Strongest Handbook context: 10.7 Datasets, Simulators, and Benchmarks              299. Genus label: Event SLAM Datasets (codex_context_genus, score=22)."
164,2023,Context-Aware Entity Grounding with Open-Vocabulary 3D Scene Graphs,"Chang, Haonan, Boyalakuntla, Kowndinya, Lu, Shiyang, Cai, Siwei, Jing, Eric Pu, Keskar, Shreesh, Geng, Shijie, Abbas, Adeeb, Zhou, Lifeng, Bekris, Kostas, and Boularious, Abdeslam. 2023a. Context-Aware Entity Grounding with Open-Vocabulary 3D Scene Graphs. In: Conf. on Robot Learning (CoRL).","Learning, Semantics & Spatial AI",Foundation and Open-World Spatial AI,Open-World Mapping,Open-Set Object Maps,codex_context_semantic,0.82,"Cited in open-world mapping context. Strongest Handbook context: 17.3 Open-World Mapping  507. Genus label: Open-Set Object Maps (codex_context_genus, score=9)."
165,2022,LAMP 2.0: A Robust Multi-Robot SLAM System for Operation in Challenging Large-Scale Underground Environments,"Chang, Y., Ebadi, K., Denniston, C., Ginting, M. Fadhil, Rosinol, A., Reinke, A., Palieri, M., Shi, J., A, Chatterjee, Morrell, B., Agha-mohammadi, A., and Carlone, L. 2022. LAMP 2.0: A Robust Multi-Robot SLAM System for Operation in Challenging Large-Scale Underground Environments. IEEE Robotics and Automation Letters, 7(4), 9175-9182. .",Problem & System Context,Historical and Scope Framing,SLAM Eras,Robust Perception Era,codex_context_fallback,0.42,"No reliable citation section was recovered; retained parser seed as low-confidence fallback. Genus label: Robust Perception Era (codex_context_genus, score=41)."
166,2023,D-Lite: Navigation-Oriented Compression of 3D Scene Graphs under Communication Constraints,"Chang, Y., Ballotta, L., and Carlone, L. 2023b. D-Lite: Navigation-Oriented Compression of 3D Scene Graphs under Communication Constraints. IEEE Robotics and Automation Letters.",Map Representations,Semantic and Structured Maps,Hierarchical Spatial Maps,3D Scene Graphs,codex_context_semantic,0.82,"Title is about hierarchical/scene-graph map representation. Genus label: 3D Scene Graphs (codex_context_genus, score=61)."
